Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 9,"Altötting, Institut der Englischen Fräulein, Institutskirche Mariä Vermählung",0,Sakral,"Altötting, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 9: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Altötting, München 2003, S.23-28.","Böhm, Cordula",,,,23,28,Altötting
Band 9,"Alzgern, Pfarrkirche Mariä Himmelfahrt",0,Sakral,"Alzgern, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 9: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Altötting, München 2003, S.29-37.","Böhm, Cordula",,,,29,37,Alzgern
Band 9,"Alzgern, ehem. Beinhaus",0,Sakral,"Alzgern, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 9: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Altötting, München 2003, S.38-42.","Böhm, Cordula",,,,38,42,Alzgern
Band 9,"Burghausen, ehem. Jesuitenkolleg",0,Sakral,"Burghausen, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 9: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Altötting, München 2003, S.43-69.","Böhm, Cordula",,,,43,69,Burghausen
Band 9,"Burghausen, Institur der Englischen Fräulein, Institutskirche Hl. Schutzengel",0,Sakral,"Burghausen, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 9: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Altötting, München 2003, S.70-74.","Böhm, Cordula",,,,70,74,Burghausen
Band 9,"Burgkirchen an der Alz, Alte Pfarrkirche Johannes der Täufer",0,Sakral,"Burgkirchen an der Alz, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 9: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Altötting, München 2003, S.75-80.","Böhm, Cordula",,,,75,80,Burgkirchen an der Alz
Band 9,"Feichten an der Alz, Pfarr- und Wallfahrtskirche Mariä Himmelfahrt",0,Sakral,"Feichten, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 9: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Altötting, München 2003, S.81-94.","Böhm, Cordula",,,,81,94,Feichten an der Alz
Band 9,"Haiming, Pfarrkirche St. Stephan",0,Sakral,"Haiming, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 9: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Altötting, München 2003, S.95-97.","Böhm, Cordula",,,,95,97,Haiming
Band 9,"Heiligenstatt, Wallfahrtskirche Unschuldige Kinder",0,Sakral,"Heiligenstatt, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 9: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Altötting, München 2003, S.98-104.","Böhm, Cordula",,,,98,104,Heiligenstatt
Band 9,"Kirchweidach, Pfarr- und Wallfahrtskirche St. Vitus",0,Sakral,"Kirchweidach, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 9: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Altötting, München 2003, S.105-118.","Böhm, Cordula",,,,105,118,Kirchweidach
