Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 8,"Altmühldorf, Pfarrkirche St. Laurentius",0,Sakral,"Altmühldorf, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.19-22.","Böhm, Cordula",,,,19,22,Altmühldorf
Band 8,"Ampfing, Friedhofskapelle Schmerzhafte Mutter Gottes",0,Sakral,"Ampfing, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.23-26.","Böhm, Cordula",,,,23,26,Ampfing
Band 8,"Annabrunn, Wallfahrtskapelle St. Anna",0,Sakral,"Annabrunn, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.27-30.","Böhm, Cordula",,,,27,30,Annabrunn
Band 8,"Au am Inn, ehem. Augustiner-Chorherrenstift",0,Sakral,"Au am Inn, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.31-63.","Bauer-Wild, Anna/Böhm, Cordula",,,,31,63,Au am Inn
Band 8,"Buchbach, Pfarrkirche St. Jakobus Maior",0,Sakral,"Buchbach, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.64-78.","Bauer-Wild, Anna/Böhm, Cordula",,,,64,78,Buchbach
Band 8,"Feichten, Filialkirche St. Martin",0,Sakral,"Feichten, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.79-80.","Böhm, Cordula",,,,79,80,Feichten
Band 8,"Fraham, Pfarrkirche St. Marin",0,Sakral,"Fraham, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.81-88.","Böhm, Cordula",,,,81,88,Fraham
Band 8,"Frauendorf, Kuratiekirche St. Michael",0,Sakral,"Frauendorf, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.89-92.","Böhm, Cordula",,,,89,92,Frauendorf
Band 8,"Frauenornau, Filial- und Wallfahrtskirche Maria vom Trost",0,Sakral,"Frauenornau, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.92-98.","Böhm, Cordula",,,,92,98,Frauenornau
Band 8,"Gars am Inn, ehem. Augustiner-Chorherrenstift",0,Sakral,"Gars am Inn, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.99-118.","Böhm, Cordula",,,,99,118,Gars am Inn
Band 8,"Grünbach, Filialkirche St. Leonhard",0,Sakral,"Grünbach, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.119-121.","Böhm, Cordula",,,,119,121,Grünbach
Band 8,"Guttenburg, Schloss",0,Profan,"Guttenburg, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.122-125.","Böhm, Cordula",,,,122,125,Guttenburg
Band 8,"Hofgiebing, Filialkirche St. Johannes der Täufer",0,Sakral,"Hofgiebing, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.126-128.","Böhm, Cordula",,,,126,128,Hofgiebing
Band 8,"Hofwies, Filial- und Wallfahrtskirche Mariä Geburt",0,Sakral,"Hofwies, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.129-132.","Böhm, Cordula",,,,129,132,Hofwies
Band 8,"Kirchdorf, Pfarrkirche Mariä Himmelfahrt",0,Sakral,"Kirchdorf, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002,S.133-139.","Böhm, Cordula",,,,133,139,Kirchdorf
Band 8,"Markt Kraiburg, Aukapelle",0,Sakral,"Markt Kraiburg, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002,S.140-141.","Böhm, Cordula",,,,140,141,Markt Kraiburg
