Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 4,"Adelshofen, Kuratiekirche St. Michael",0,Sakral,"Adelshofen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.19-20.","Böhm, Cordula",,X,,19,20,Adelshofen
Band 4,"Aich, Kuratiekirche St. Peter und Paul",0,Sakral,"Aich, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.21-23.","Böhm, Cordula",,X,,21,23,Aich
Band 4,"Aufkirchen, Pfarrkirche St. Georg",0,Sakral,"Aufkirchen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.24-25.","Böhm, Cordula",,X,,24,25,Aufkirchen
Band 4,"Biburg, Filialkirche Mariä Geburt",0,Sakral,"Biburg (Alling), in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.26-28.","Böhm, Cordula",,X,,26,28,Biburg
Band 4,"Dünzelbach, Pfarrkirche St. Nikolaus",0,Sakral,"Dünzelbach, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.29-32.","Sauerländer, Brigitte",,X,,29,32,Dünzelbach
Band 4,"Eismerszell, Filialkirche St. Georg",0,Sakral,"Eismerszell, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.33-38.","Sauerländer, Brigitte",,X,,33,38,Eismerszell
Band 4,"Esting, Ehem. Benefiziatenhaus",0,Sakral,"Esting, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.39-41.","Bauer-Wild, Anna",,X,,39,41,Esting
Band 4,"Fürstenfeldbruck, Stadtpfarrkirche St. Magdalena",0,Sakral,"Fürstenfeldbruck, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.42-57.","Gluderer, Martin",,X,,42,57,Fürstenfeldbruck
Band 4,"Fürstenfeld, Ehem. Stiftskirche Mariä Himmelfahrt",0,Sakral,"Fürstenfeld (Stiftskirche), in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.58-112.","Bauer-Wild, Anna/Hamacher, Bärbel/Werner-Clementschitsch, Heide",,X,,58,112,Fürstenfeld
Band 4,"Fürstenfeld, Ehem. Klostergebäude",0,Sakral,"Fürstenfeld (Kloster), in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.113-133.","Volk-Knüttel, Brigitte",,X,,113,133,Fürstenfeld
Band 4,"Geiselbullach, Kapelle St. Johannes",0,Sakral,"Geiselbullach, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.134-139.","Sauerländer, Brigitte",,X,,134,139,Geiselbullach
Band 4,"Grafrath, Wallfahrts- und Klosterkirche St. Rasso",0,Sakral,"Grafrath, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.140-148.","Volk-Knüttel, Brigitte/Werner-Clementschitsch, Heide",X,,,140,148,Grafrath
Band 4,"Grunertshofen, Pfarrkirche St. Laurentius",0,Sakral,"Grunertshofen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.149-161.","Sauerländer, Brigitte",,X,,149,161,Grunertshofen
Band 4,"Günzlhofen, Pfarrkirche St. Margareta",0,Sakral,"Günzlhofen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.162-165.","Sauerländer, Brigitte",,X,,162,165,Günzlhofen
Band 4,"Hanshofen, Filialkirche St. Katharina",0,Sakral,"Hanshofen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.166-167.","Böhm, Cordula",,X,,166,167,Hanshofen
Band 4,"Hohenzell, Filialkirche Mariä Heimsuchung",0,Sakral,"Hohenzell, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.168-169.","Böhm, Cordula",,X,,168,169,Hohenzell
Band 4,"Holzhausen, Filialkirche Inventio Crucis",0,Sakral,"Holzhausen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.170-171.","Böhm, Cordula",,X,,170,171,Holzhausen
Band 4,"Jesenwang, Pestkapelle Maria Trost",0,Sakral,"Jesenwang, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.172-174.","Sauerländer, Brigitte",,X,,172,174,Jesenwang
Band 4,"Kottgeisering, Pfarrkirche Hl. Valentin von Terni",0,Sakral,"Kottgeisering, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.175-184.","Sauerländer, Brigitte",,X,,175,184,Kottgeisering
Band 4,"Luttenwang, Filialkirche Mariä Himmelfahrt",0,Sakral,"Luttenwang, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.185-189.","Sauerländer, Brigitte",,X,,185,189,Luttenwang
Band 4,"Maisach, Pfarrkirche St. Vitus",0,Sakral,"Maisach, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.190-192.","Sauerländer, Brigitte",,X,,190,192,Maisach
Band 4,"Mammendorf, Pfarrkirche St. Jakobus Maior",0,Sakral,"Mammendorf, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.193-198.","Sauerländer, Brigitte",,X,,193,198,Mammendorf
Band 4,"Moorenweis, Pfarrkirche St. Sixtus",0,Sakral,"Moorenweis, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.199-213.","Sauerländer, Brigitte",,X,,199,213,Moorenweis
Band 4,"Oberweikertshofen, Pfarrkirche St. Johannes der Täufer",0,Sakral,"Oberweikertshofen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.214-217.","Sauerländer, Brigitte",,X,,214,217,Oberweikertshofen
Band 4,"Poigern, Filialkirche St. Nikolaus",0,Sakral,"Poigern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.218-222.","Sauerländer, Brigitte",,X,,218,222,Poigern
Band 4,"Puch, Wallfahrtskirche St. Sebastian",0,Sakral,"Puch, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.223-238.","Sauerländer, Brigitte",,X,,223,238,Puch
Band 4,"Rammertshofen, Filialkirche Inventio Crucis",0,Sakral,"Rammertshofen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 4: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Fürstenfeldbruck, München 1995, S.239-242.","Böhm, Cordula",,X,,239,242,Rammertshofen
