Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 5,"Ainhofen, Filial- und Wallfahrtskirche Mariä Empfängnis",0,Sakral,"Ainhofen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 5: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Dachau, München 1995, S. 19-23.","Bauer-Wild, Anna",,X,,19,23,Ainhofen
Band 5,"Altomünster, Pfarr- und Klosterkirche St. Alto",0,Sakral,"Altomünster, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 5: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Dachau, München 1995, S. 24-50.","Bauer-Wild, Anna",,X,,24,50,Altomünster
Band 5,"Egenburg, Pfarrkirche St. Stephanus",0,Sakral,"Egenburg, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 5: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Dachau, München 1995, S. 51-59.","Sauerländer, Brigitte",,X,,51,59,Egenburg
Band 5,"Eisenhofen, Filialkirche St. Alban",0,Sakral,"Eisenhofen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 5: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Dachau, München 1995, S. 60-63.","Bauer-Wild, Anna",,X,,60,63,Eisenhofen
Band 5,"Grossberghofen, Kuratiekirche St. Georg",0,Sakral,"Grossberghofen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 5: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Dachau, München 1995, S. 64-65.","Bauer-Wild, Anna",,X,,64,65,Grossberghofen
Band 5,"Günding, Filialkirche St. Vitus",0,Sakral,"Günding, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 5: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Dachau, München 1995, S.66.","Bauer-Wild, Anna",,X,,66,66,Günding
Band 5,"Haimhausen, Schloss ",0,Profan,"Haimhausen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 5: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Dachau, München 1995, S.67-82.","Volk-Knüttel, Brigitte",,X,,67,82,Haimhausen
Band 5,"Haimhausen, Klausenkapelle Maria von Loreto",0,Sakral,"Haimhausen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 5: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Dachau, München 1995, S.82.","Volk-Knüttel, Brigitte",,X,,82,82,Haimhausen
Band 5,"Hirtlbach, Pfarrkirche St. Valentin",0,Sakral,"Hirtlbach, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 5: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Dachau, München 1995, S.83-85.","Bauer-Wild, Anna",,X,,83,85,Hirtlbach
Band 5,"Inhausen, Filialkirche Maria Himmelfahrt",0,Sakral,"Inhausen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 5: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Dachau, München 1995, S.86-90.","Bauer-Wild, Anna",,X,,86,90,Inhausen
Band 5,"Kleinberghofen, Pfarrkirche St. Martin",0,Sakral,"Kleinberghofen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 5: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Dachau, München 1995, S.91-97.","Bauer-Wild, Anna",,X,,91,97,Kleinberghofen
