Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 6,"Aich, Filialkirche St. Georg",0,Sakral,"Objekt, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 6: Freistaat Bayern, Regierungsbezirk Oberbayern, Stadt und Landkreis Freising, München 1998, S.19-29.","Bauer-Wild, Anna/Böhm, Cordula",,,,19,29,Aich
Band 6,"Allershausen, Pfarrkirche St. Joseph",0,Sakral,"Objekt, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 6: Freistaat Bayern, Regierungsbezirk Oberbayern, Stadt und Landkreis Freising, München 1998, S.30-39.","Tezmen-Siegel, Jutta/Volk-Knüttel, Brigitte",,,,30,39,Allershausen
Band 6,"Eching, Alte Pfarrkirche St. Andreas",0,Sakral,"Objekt, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 6: Freistaat Bayern, Regierungsbezirk Oberbayern, Stadt und Landkreis Freising, München 1998, S.40-43.","Tezmen-Siegel, Jutta",,,,40,43,Eching
Band 6,"Erching, Schlosskapelle St. Walburga",0,Sakral,"Objekt, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 6: Freistaat Bayern, Regierungsbezirk Oberbayern, Stadt und Landkreis Freising, München 1998, S.44-48.","Bauer-Wild, Anna/Böhm, Cordula",,,,44,48,Erching
Band 6,"Freising, Dom",0,Sakral,"Objekt, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 6: Freistaat Bayern, Regierungsbezirk Oberbayern, Stadt und Landkreis Freising, München 1998, S.49-121.","Volk-Knüttel, Brigitte",,,,49,121,Freising
Band 6,"Freising, St. Johann Nepomuk Kapelle",0,Sakral,"Objekt, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 6: Freistaat Bayern, Regierungsbezirk Oberbayern, Stadt und Landkreis Freising, München 1998, S.122-127.","Volk-Knüttel, Brigitte",,,,122,127,Freising
Band 6,"Freising, St.-Maximilian-Kapelle",0,Sakral,"Objekt, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 6: Freistaat Bayern, Regierungsbezirk Oberbayern, Stadt und Landkreis Freising, München 1998, S.128-132.","Volk-Knüttel, Brigitte",,,,128,132,Freising
Band 6,"Freising, Domkreuzgang",0,Sakral,"Objekt, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 6: Freistaat Bayern, Regierungsbezirk Oberbayern, Stadt und Landkreis Freising, München 1998, S.133-149.","Volk-Knüttel, Brigitte",,,,133,149,Freising
Band 6,"Freising, Benediktuskirche",0,Sakral,"Objekt, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 6: Freistaat Bayern, Regierungsbezirk Oberbayern, Stadt und Landkreis Freising, München 1998, S.150-159.","Volk-Knüttel, Brigitte",,,,150,159,Freising
Band 6,"Freising, Ehem. Fürstbischöfliche Residenz",0,Sakral,"Objekt, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 6: Freistaat Bayern, Regierungsbezirk Oberbayern, Stadt und Landkreis Freising, München 1998, S.160-162.","Volk-Knüttel, Brigitte",,,,160,162,Freising
