Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 13,"Altendorf, Filial- und Wallfahrtskirche Mariä Himmelfahrt",0,Sakral,"Altendorf, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.17-23.","Grimminger, Christina/Langenstein, Eva",,,,17,23,Altendorf
Band 13,"Altmannstein, Pfarrkirche Hl. Kreuz",0,Sakral,"Altmannstein, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.24-26.","Böhm, Cordula",,,,24,26,Altmannstein
Band 13,"Appertshofen, Pfarrkirche Mariä Heimsuchung",0,Sakral,"Appertshofen, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.27-35.","Böhm, Cordula",,,,27,35,Appertshofen
Band 13,"Beilngries, Friedhofskirche St. Lucia, sog. Bühlkirche",0,Sakral,"Beilngries, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.36-41.","Böhm, Cordula",,,,36,41,Beilngries
Band 13,"Berghausen, Filialkirche St. Nikolaus",0,Sakral,"Berghausen, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.42-44.","Böhm, Cordula",,,,42,44,Berghausen
Band 13,"Bettbrunn, Pfarr- und Wallfahrtskirche St. Salvator",0,Sakral,"Bettbrunn, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.45-66.","Böhm, Cordula",,,,45,66,Bettbrunn
Band 13,"Biberbach, Filialkirche St. Michael",0,Sakral,"Biberbach, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.67-68.","Böhm, Cordula",,,,67,68,Biberbach
Band 13,"Dörndorf, Pfarrkirche St. Sixtus",0,Sakral,"Dörndorf, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.69-75.","Böhm, Cordula",,,,69,75,Dörndorf
Band 13,"Eichstätt, Benediktinerabtei St. Walburg",0,Sakral,"Eichstätt, Benediktinerabtei St. Walburg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.76-110.","Bauer-Wild, Anna",,,,76,110,Eichstätt
Band 13,"Eichstätt, Ehem. Dominikanerkloster",0,Sakral,"Eichstätt, Ehem. Dominikanerkloster, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 13: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.111-122.","Bauer-Wild, Anna/Grimminger, Christina/Langenstein, Eva",,,,111,122,Eichstätt
