Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 14,"Ingolstadt, Spitalkirche Heilig Geist",0,Sakral,"Spitalkirche Heilig Geist, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.17-36.","Langenstein, Eva/Sauerländer, Brigitte",,,,17,36,Ingolstadt
Band 14,"Ingolstadt, Franziskanerklosterkirche",0,Sakral,"Franziskanerklosterkirche, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.37-48.","Langenstein, Eva",,,,37,48,Ingolstadt
Band 14,"Ingolstadt, Kongregationssaal Maria de Victoria",0,Sakral,"Kongregationssaal Maria de Victoria, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.49-104.","Bauer-Wild, Anna/Langenstein, Eva",,,,49,104,Ingolstadt
Band 14,"Ingolstadt, Alte Anatomie",0,Profan,"Alte Anatomie, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.105-116.","Bauer-Wild, Anna/Langenstein, Eva/Sauerländer, Brigitte",,,,105,116,Ingolstadt
Band 14,"Ingolstadt, Stadtpfarrkirche St. Moritz",0,Sakral,"Stadtpfarrkirche St. Moritz, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.117-121.","Grimminger, Christina",,,,117,121,Ingolstadt
Band 14,"Ingolstadt, Augustinereremitenkirche",0,Sakral,"Augustinereremitenkirche, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.122-136.","Bauer-Wild, Anna/Langenstein, Eva",,,,122,136,Ingolstadt
Band 14,"Ingolstadt, Sog. Orbansaal im Jesuitenkolleg",0,Sakral,"Sog. Orbansaal im Jesuitenkolleg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.137-144.","Grimminger, Christina",,,,137,144,Ingolstadt
Band 14,"Ingolstadt, Decke des sog. Illuminatensaals",0,Profan,"Decke des sog. Illuminatensaals, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.145-150.","Grimminger, Christina",,,,145,150,Ingolstadt
Band 14,"Etting, Pfarr- und Wallfahrtskirche St. Michael",0,Sakral,"Etting, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.151-158.","Langenstein, Eva",,,,151,158,Etting
Band 14,"Pettenhofen, Pfarr- und Wallfahrtskirche Mariä Geburt",0,Sakral,"Pettenhofen, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.159-163.","Langenstein, Eva",,,,159,163,Pettenhofen
Band 14,"Zuchering, Pfarrkirche St. Blasius",0,Sakral,"Zuchering, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.164-174.","Böhm, Cordula/Langenstein, Eva",,,,164,174,Zuchering
Band 14,"Alberzell, Filialkirche Heilig Kreuz",0,Sakral,"Alberzell, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.175-178.","Sauerländer, Brigitte/Langenstein, Eva",,,,175,178,Alberzell
Band 14,"Baar, Pfarr- und Wallfahrtskirche Mariä Himmelfahrt",0,Sakral,"Baar, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.179-188.","Böhm, Cordula/Sauerländer, Brigitte",,,,179,188,Baar
Band 14,"Geisenfeld, Pfarrkirche Mariä Himmelfahrt und St. Zeno",0,Sakral,"Geisenfeld, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 14: Freistaat Bayern. Regierungsbezirk Oberbayern. Stadt Ingolstadt, Landkreis Pfaffenhofen, München 2010, S.189-204.","Sauerländer, Brigitte/Böhm, Cordula",,,,189,204,Geisenfeld
