Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 1,"Tannenberg, Kapelle St. Joseph",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 543-547.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,545,547,Tannenberg
Band 1,"Untereglfing, Filialkirche Mariä Himmelfahrt",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 548.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,548,548,Untereglfing
Band 1,"Unterhausen, Pfarr- und Wallfahrtskirche Unsere Liebe Frau",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 549-552.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,549,552,Unterhausen
Band 1,"Weilheim, Stadtpfarrkirche Mariä Himmelfahrt",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 553-560.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,553,560,Weilheim
Band 1,"Weilheim, Leichenhaus",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 560-562.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,560,562,Weilheim
Band 1,"Weilheim, Pfarrkirche St. Pölten",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 563-566.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,563,566,Weilheim
Band 1,"Wessobrunn, ehem. Benediktinerabtei Klostergebäude, Benediktussaal im Gästetrakt",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 567-569.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,567,569,Wessobrunn
Band 1,"Wessobrunn, ehem. Benediktinerabtei Klostergebäude, Zimmer im Gästetrakt",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Polling, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 570-572.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,570,572,Wessobrunn
Band 1,"Wessobrunn, ehem. Benediktinerabtei Klostergebäude, Magdalenenzimmer",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Wessobrunn, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 573.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,573,573,Wessobrunn
Band 1,"Wessobrunn, ehem. Benediktinerabtei Klostergebäude, Stiegenhaus",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Wessobrunn, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 574.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,574,574,Wessobrunn
Band 1,"Wessobrunn, ehem. Benediktinerabtei Klostergebäude, Gang",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Wessobrunn, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 575-589.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,575,589,Wessobrunn
Band 1,"Wessobrunn, Pfarrkirche St. Johann Baptist",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 590-594.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,590,594,Wessobrunn
Band 1,"Wessobrunn, Kreuzbergkapelle Hl. Kreuz",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 595-597.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,595,597,Wessobrunn
Band 1,"Wessobrunn, Gasthaus zur Post",0,Profan,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 597-599.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,597,599,Wessobrunn
Band 1,"Wies bei Steingaden, Wieskapelle",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 600-601.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,600,601,Wies bei Steingaden
Band 1,"Wies bei Steingaden, Wallfahrtskirche Wies, St. Joseph",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 602-623.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,602,623,Wies bei Steingaden
Band 2,Aufhofen. Filialkirche St. Valentin,0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 19-20.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,"Im gesamten Band keine Hinweise auf die Autoren der einzelnen wissenschaftlichen Texte, daher Nennung aller bei jedem Eintrag?!?!?",19,20,Aufhofen. Filialkirche St. Valentin
Band 2,"Bad Heilbrunn, Pfarrkirche St. Kilian",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 21-24.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,21,24,Bad Heilbrunn
