Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 11,"Almau, Filialkirche St. Leonhard",0,Sakral,"Almau, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.19-20.","Bauer-Wild, Anna",,,,19,20,Almau
Band 11,"Baumburg, ehem. Stiftskirche St. Margareta",0,Sakral,"Baumburg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.21-44.","Bauer-Wild, Anna",,,,21,44,Baumburg
Band 11,"Berg, ehem. Filialkirche St. Nikolaus",0,Sakral,"Berg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.45-48.","Bauer-Wild, Anna",,,,45,48,Berg
Band 11,"Deinting, Filialkirche St. Sixtus und St. Sebastian",0,Sakral,"Deinting, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.49-50.","Bauer-Wild, Anna",,,,49,50,Deinting
Band 11,"Fridolfing, Alter Pfarrhof",0,Sakral,"Fridolfing, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.51-52.","Bauer-Wild, Anna",,,,51,52,Fridolfing
Band 11,"Grassau, Pfarrkirche Mariä Himmelfahrt",0,Sakral,"Grassau, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.53-82.","Bauer-Wild, Anna",,,,53,82,Grassau
Band 11,"Kay, Pfarrkirche St. Martin",0,Sakral,"Kay, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.83-90.","Bauer-Wild, Anna",,,,83,90,Kay
Band 11,"Klosterseon, ehem. Benediktinerabtei Seon",0,Sakral,"Klosterseon, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.91-105.","Bauer-Wild, Anna",,,,91,105,Klosterseon
Band 11,"Mögling, Nebenkirche Mariä Himmelfahrt",0,Sakral,"Mögling, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.106-110.","Bauer-Wild, Anna",,,,106,110,Mögling
Band 11,"Ruhpolding, Pfarrkirche St. Georg",0,Sakral,"Ruhpolding, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.111-123.","Bauer-Wild, Anna",,,,111,123,Ruhpolding
Band 11,"Ruhpolding, Schlosskapelle im Neuen Schloss",0,Sakral,"Ruhpolding, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.123-128.","Bauer-Wild, Anna",,,,123,128,Ruhpolding
Band 11,"Schedling, ehem. Schlosskapelle St. Joseph",0,Sakral,"Schedling, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.129-132.","Bauer-Wild, Anna",,,,129,132,Schedling
Band 11,"Schnaitsee, Pfarrkirche Mariä Himmelfahrt",0,Sakral,"Schnaitsee, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 11: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.133-143.","Bauer-Wild, Anna",,,,133,143,Schnaitsee
