Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 10,"Ambach, Pfarrkirche St. Martin",0,Sakral,"Ambach, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.17-18.","Volk-Knüttel, Brigitte",,,,17,18,Ambach
Band 10,"Ammerfeld, Pfarrkirche St. Quirinus von Tegernsee",0,Sakral,"Ammerfeld, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.19-33.","Volk-Knüttel, Brigitte",,,,19,33,Ammerfeld
Band 10,"Antoniberg, Wallfahrtskirche St. Antonius von Padua und St. Anna",0,Sakral,"Antoniberg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.34-44.","Volk-Knüttel, Brigitte",,,,34,44,Antoniberg
Band 10,"Bergen, Pfarr- und Wallfahrtskirche Hl. Kreuz",0,Sakral,"Bergen, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.45-60.","Volk-Knüttel, Brigitte",,,,45,60,Bergen
Band 10,"Bergheim, Pfarrkirche St. Mauritius",0,Sakral,"Bergheim, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.61-65.","Volk-Knüttel, Brigitte",,,,61,65,Bergheim
Band 10,"Bergheim, Kapelle Mariä Himmelfahrt",0,Sakral,"Bergheim, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.66-73.","Volk-Knüttel, Brigitte",,,,66,73,Bergheim
Band 10,"Bertoldsheim, Pfarrkirche St. Michael",0,Sakral,"Bertoldsheim, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.74-76.","Volk-Knüttel, Brigitte",,,,74,76,Bertoldsheim
Band 10,"Burgheim, Pfarrkirche St. Kosmas und Damian",0,Sakral,"Burgheim, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.77-84.","Volk-Knüttel, Brigitte",,,,77,84,Burgheim
Band 10,"Dezenacker, Pfarrkirche St. Elisabeth von Thüringen",0,Sakral,"Dezenacker, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.85-92.","Volk-Knüttel, Brigitte",,,,85,92,Dezenacker
Band 10,"Dinkelshausen, Nebenkirche St. Gertrud von Helfta",0,Sakral,"Dinkelshausen, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.93-97.","Volk-Knüttel, Brigitte",,,,93,97,Dinkelshausen
Band 10,"Ellenbrunn, Filialkirche St. Martin",0,Sakral,"Ellenbrunn, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.98.","Volk-Knüttel, Brigitte",,,,98,98,Ellenbrunn
Band 10,"Haselbach, Pfarrkirche St. Michael",0,Sakral,"Haselbach, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.99-104.","Volk-Knüttel, Brigitte",,,,99,104,Haselbach
Band 10,"Hollenbach, Pfarrkirche St. Quirinus von Siscia",0,Sakral,"Hollenbach, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.105-109.","Volk-Knüttel, Brigitte",,,,105,109,Hollenbach
Band 10,"Illdorf, Pfarrkirche Johannes der Täufer",0,Sakral,"Illdorf, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.110-114.","Volk-Knüttel, Brigitte",,,,110,114,Illdorf
Band 10,"Längloh, Filialkirche Mariä Geburt",0,Sakral,"Längloh, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.115-119.","Volk-Knüttel, Brigitte",,,,115,119,Längloh
Band 10,"Langenmosen, Pfarrkirche St. Andreas",0,Sakral,"Langenmosen, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.120-129.","Sauerländer, Brigitte",,,,120,129,Langenmosen
Band 10,"Maria Beinberg, Wallfahrtskirche Mariä Geburt",0,Sakral,"Maria Beinberg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.130-141.","Sauerländer, Brigitte",,,,130,141,Maria Beinberg
Band 10,"Mauern, Pfarrkirche Mariä Himmelfahrt",0,Sakral,"Mauern, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.142-154.","Sauerländer, Brigitte",,,,142,154,Mauern
Band 10,"Neuburg an der Donau, Stadtpfarrkirche St. Peter",0,Sakral,"Stadt Neuburg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.155-160.","Volk-Knüttel, Brigitte",,,,155,160,Neuburg an der Donau
Band 10,"Neuburg an der Donau, Stadtpfarrkirche Hl. Geist",0,Sakral,"Stadt Neuburg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.161-181.","Volk-Knüttel, Brigitte",,,,161,181,Neuburg an der Donau
Band 10,"Neuburg an der Donau, Studienkirche St. Ursula",0,Sakral,"Stadt Neuburg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.182-191.","Volk-Knüttel, Brigitte",,,,182,191,Neuburg an der Donau
Band 10,"Neuburg an der Donau, ehem. Jesuitengymnasium",0,Sakral,"Stadt Neuburg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.192-207.","Volk-Knüttel, Brigitte",,,,192,207,Neuburg an der Donau
Band 10,"Neuburg an der Donau, ehem. Bruderschaftshaus zur Schmerzhaften Muttergottes",0,Sakral,"Stadt Neuburg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.208-218.","Volk-Knüttel, Brigitte",,,,207,218,Neuburg an der Donau
