Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 7,"Altenerding, Pfarrkirche  Mariä Verkündigung",0,Sakral,"Altenerding, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.19-31.","Bauer-Wild, Anna",,,,19,31,Altenerding
Band 7,"Amelgering, Filialkirche St. Lambert",0,Sakral,"Amelgering, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.32-39.","Böhm, Cordula",,,,32,39,Amelgering
Band 7,"Berglern, Pfarrkirche St. Peter und Paul",0,Sakral,"Berglern, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.40-53.","Bauer-Wild, Anna",,,,40,53,Berglern
Band 7,"Blainthal, Filialkirche St. Ulrich",0,Sakral,"Blainthal, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.54-58.","Bauer-Wild, Anna",,,,54,58,Blainthal
Band 7,"Bockhorn, Sakristei der Pfarrkirche Mariä Heimsuchung",0,Sakral,"Bockhorn, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.59-60.","Bauer-Wild, Anna",,,,59,60,Bockhorn
Band 7,"Buch am Buchrain, Pfarrkirche St. Martin",0,Sakral,"Buch am Buchrain, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.61-69.","Bauer-Wild, Anna",,,,61,69,Buch am Buchrain
Band 7,"Burgharting, Pfarrkirche St. Vitus",0,Sakral,"Burgharting, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.70-79.","Bauer-Wild, Anna",,,,70,79,Burgharting
Band 7,"Burgrain, Schlosskapelle St. Georg",0,Sakral,"Burgrain, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.80-84.","Böhm, Cordula",,,,80,84,Burgrain
Band 7,"Dorfen, Stadtpfarrkirche und Wallfahrtskirche Maria Dorfen",0,Sakral,"Dorfen, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.85-95.","Bauer-Wild, Anna",,,,85,95,Dorfen
Band 7,"Dorfen, Marktkirche St. Vitus",0,Sakral,"Dorfen, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.96-98.","Bauer-Wild, Anna",,,,96,98,Dorfen
Band 7,"Eitting, Pfarrkirche St. Georg",0,Sakral,"Eitting, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.99-103.","Bauer-Wild, Anna",,,,99,103,Eitting
Band 7,"Eschlbach, Pfarrkirche Mariä Geburt",0,Sakral,"Eschlbach, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.104-106.","Bauer-Wild, Anna",,,,104,106,Eschlbach
Band 7,"Geislbach, Filialkirche St. Nikolaus",0,Sakral,"Geislbach, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.107-108.","Bauer-Wild, Anna",,,,107,108,Geislbach
Band 7,"Großköchlham, Filialkirche St. Valentin",0,Sakral,"Großköchlham, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.109-118.","Bauer-Wild, Anna",,,,109,118,Großköchlham
Band 7,"Großwimpaßing, Filialkirche St. Jakobus der Ältere",0,Sakral,"Großwimpaßing, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.119-127.","Bauer-Wild, Anna",,,,119,127,Großwimpaßing
Band 7,"Grünbach, Filialkirche St. Andreas",0,Sakral,"Grünbach, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.128-129.","Bauer-Wild, Anna",,,,128,129,Grünbach
Band 7,"Hecken, Filialkirche St. Margareta",0,Sakral,"Hecken, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.130-133.","Bauer-Wild, Anna",,,,130,133,Hecken
Band 7,"Heilig Blut bei Erding, Wallfahrtskirche",0,Sakral,"Heilig Blut bei Erding, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.134-145.","Bauer-Wild, Anna",,,,134,145,Heilig Blut bei Erding
Band 7,"Hinterholzhausen, Filialkirche Hl. Kreuzauffindung",0,Sakral,"Hinterholzhausen, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.146-153.","Bauer-Wild, Anna",,,,146,153,Hinterholzhausen
Band 7,"Hohenpolding, Pfarrkirche Mariä Heimsuchung",0,Sakral,"Hohenpolding, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.154-166.","Bauer-Wild, Anna",,,,154,166,Hohenpolding
Band 7,"Hohenpolding, ehem. Friedhofskapelle",0,Sakral,"Hohenpolding, in: Bauer, Hermann/Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 7: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Erding, München 2001, S.167-168.","Bauer-Wild, Anna",,,,167,168,Hohenpolding
