Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
"Band 3, II","Oberschleißheim, Neues Schloss Schleißheim, Gesamtikonologie",0,Profan,"Neues Schloss, Gesamtikonologie, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 553-558.","Bauer-Wild, Anna / W.H.",,,,553,558,Oberschleißheim
"Band 3, II","München, ehem. Hofapotheke der Münchner Residenz",0,Profan,"Hofapotheke, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 214.","Bauer-Wild, Anna",,X,,214,214,München
"Band 3, II","München, Schreibzimmer der Kurfürstin Maria Anna der Münchner Residenz",0,Profan,"Schreibzimmer der Kurfürstin Maria Anna der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 215.","Bauer-Wild, Anna",,X,,215,215,München
"Band 3, II","München, Speisesaal der Münchner Residenz",0,Profan,"Speisesaal der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 344-345.",F.B.,,X,,344,345,München
"Band 3, II","München, Schloss Nymphenburg, Ehemaliges Kaffeezimmer im Orangeriegebäude",0,Profan,"Nymphenburg, Ehemaliges Kaffeezimmer im Orangeriegebäude, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 424.","Bauer-Wild, Anna",,,,424,424,München
"Band 3, II","München, Palais Portia",0,Profan,"Palais Portia, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 576.","Baur, Eva-Gesine/Sinkel, Kristin",,X,,576,576,München
"Band 3, II","München, Gasthof zum Schwarzen Adler",0,Profan,"Gasthof zum Schwarzen Adler, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 579.","Baur, Eva-Gesine",,X,,579,579,München
Band 5,"Haimhausen, Klausenkapelle Maria von Loreto",0,Sakral,"Haimhausen, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 5: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Dachau, München 1995, S.82.","Volk-Knüttel, Brigitte",,X,,82,82,Haimhausen
Band 8,"Zangberg, Kloster St. Joseph der Salesianerinnen",0,Sakral,"Zangberg, in: Büttner, Frank/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 8: Freistaat Bayern, Regierungsbezirk Oberbayern, Landkreis Mühldorf am Inn, München 2002, S.305-343.","Bauer-Wild, Anna/Böhm, Cordula",,,,305,343,Zangberg
Band 10,"Neuburg an der Donau, Stadtpfarrkirche St. Peter",0,Sakral,"Stadt Neuburg, in: Bauer, Hermann/Rupprecht, Bernhard/Büttner, Frank: Corpus der barocken Deckenmalerei in Deutschland, Bd. 10: Freistaat Bayern. Regierungsbezirk Oberbayern. Landkreis Neuburg-Schrobenhausen, München 2005, S.155-160.","Volk-Knüttel, Brigitte",,,,155,160,Neuburg an der Donau
